影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
两个爸爸,Palatpol Mingpornpichit,Palatpol Mingpornpichit,Utt Uttsada Panichkul;Nat Sakdatorn,剧情;同性,泰国,泰语,2016-05-26(泰国)
带我回家,罗宁·提姆,罗宁·提姆,马里奥·毛瑞尔;婉娜拉·宋提查;加亚纳马·诺帕柴;朱安贾伊·伊鲁斯里;Nabhada Sukhakrit,剧情,泰国,泰语,2016-04-13(泰国)
11-12-13至死不渝,Sarawut Wichiensarn,苏格拉瓦·卡那诺;Nutthasit Kotimanuswanich,苏格拉瓦·卡那诺;Nutthasit Kotimanuswanich;阿芮根妲·马哈乐沙空;Mek Mekwattana,喜剧;恐怖,泰国,泰语,2016-03-31(泰国)
我的鬼学长,韦西·沙赞那庭,韦西·沙赞那庭,Ploychompoo Jannine Parawie Weigel;Bom Pongsakorn,爱情;恐怖,泰国,泰语,2015-12-03(泰国)
与父同行,?????? ?????????,,??????? ?????;????? ??????????;???? ????;????? ??????,剧情;同性,泰国,泰语,2015-11-12(泰国)
电击女孩,查亚诺普·布恩帕拉科布,查亚诺普·布恩帕拉科布;诺塔彭·邦帕卡布;Thodsapon Thiptinnakorn;瓦苏红·皮娅罗姆娜,苏卡达·顾珑希;提顶·玛哈由踏纳;朋抔·里拉塔纳卡邹;Narikun Ketprapakorn;Kanyawee Songmuang,剧情;喜剧,泰国,泰语,2015-10-01(泰国)
灵蛇爱,M.L. Pundhevanop Dhewakul,,查克利·彦纳姆;麦琪·阿帕;Chaiwat Thongsaeng;Sakrat Ruekthamrong;Karnpitchar Ketmanee,剧情;爱情,泰国,泰语,2015-09-17(泰国)
恋爱诊疗中,纳瓦彭·坦荣瓜塔纳利,纳瓦彭·坦荣瓜塔纳利,桑尼·苏瓦美塔农;黛薇卡·霍内;班庄·比辛达拿刚;瓦尔蕾特·瓦帖儿;埃迪森·特斯利卡森;诺塔彭·邦帕卡布,剧情;喜剧;爱情,泰国,泰语,2015-09-03(泰国)
想爱就爱2.5,卡洛堤·奈金塔隆,,蒂娜·吉塔勒拉 Tina Jittaleela;Nan Sunanta Yurinayom;Hongyok,剧情;爱情,泰国,泰语,2015-05-28(泰国)
我很好，谢谢，我爱你,梅兹·塔拉,Chaiyapruek Chalermpornpanich;Benjamaporn Srabua;梅兹·塔拉,桑尼·苏瓦美塔农;波莉雀娅·彭娜妮可;Puttachat Pongsuchat;苍井空,喜剧;爱情,泰国,泰语,2014-12-10(泰国)
泳队惊魂,索分·沙达菲斯,,朱塔吾·帕塔拉刚普;素帕莎·他那差;朋抔·里拉塔纳卡邹;瓦尔蕾特·瓦帖儿,惊悚;恐怖,泰国,泰语,2014-08-07(泰国)
教师日记,尼提瓦·塔拉吞,,赖拉·邦雅淑;素格力·威塞哥;苏格拉瓦·卡那诺;楚缇玛·提潘娜特;文塔瓦·史蓝蓬,喜剧;爱情,泰国,泰语,2014-03-20(泰国)
爱要来了,Naphat Chaithiangthum,Panissara Phimpru,Suraphat Kirivichien;Khunatipapisiri Korn;Norrapat Sakulsong;查侬·散顶腾古;Suttinut Uengtrakul,喜剧;爱情;同性,泰国,泰语,2014-02-27(泰国)
时光情书,朗斯·尼美毕达,吉亚·宋撒努;阿比彻·坎旁·纳·阿宇尚亚;朗斯·尼美毕达,吉拉宇·唐思苏克;札玲朋·尊克迪;琵雅妲·沃拉慕斯;加亚纳马·诺帕柴,爱情,泰国,泰语,2014-02-13(泰国)
凶地,普安農;詹姆士;邁克;阿平,普安农;詹姆士;迈克;阿平,Chaiwat Tongseng;Tob;Charlie Trairattana;Donut Manasnan Panlertwongskul;娜帕莎;Golf;查奥莎娜;平采娜Pimchanok Leuwisetpaiboon;Kunatip Pinpradab,恐怖,泰国,泰语,2014-02-06(泰国);2014-02-27(台湾)
鬼三惊2,Isara Nadee;Kirati Nakintanon;Putipong Saisikaew,,萨瓦特·博拉娜波拉特;素帕娜·吉塔勒拉;Ray MacDonald;辛扎伊·本班尼;Apapattra Meesang,恐怖,泰国,泰语,2014-01-16(泰国)
Oh！我的幽灵鬼,Puttipong Pormsaka Na-Sakonnakorn,,Cris;苏达拉·布查蓬,剧情;喜剧;恐怖;鬼怪,泰国,泰语,2013-11-28(泰国)
端岛计划,皮亚潘·秋贝绮,Adirek Wattaleela,苏查拉·玛娜英;阿萍雅·萨库尔加伦苏;披拉·尼迪裴善官;亚历山大·伦德尔,惊悚;恐怖;冒险,泰国,泰语,2013-10-31(泰国)
这个高中没有鬼,普安农,,Kunatip Pinpradab;伍瓦倫班羅薩;吉迪巴薩曼德坤財,喜剧;恐怖,泰国,泰语,2013-10-03(泰国)
死在那年夏天,Saranyoo Jiralak,,吉拉育·拉翁马尼;Suthatta Udomsilp;????????? ???????????;??? ???????????????;???????? ???????????,剧情;恐怖,泰国,泰语,2013-06-27(泰国)
鬼夫,班庄·比辛达拿刚,辰塔维·塔纳西维;Nontra Kumwong;班庄·比辛达拿刚,马里奥·毛瑞尔;黛薇卡·霍内;Nattapong Chartpong;Pongsatorn Jongwilak;Wiwat Kongrasri;Kantapat Permpoonpatcharasuk;措恩·金达科特,喜剧;爱情;惊悚,泰国,泰语,2013-03-28(泰国)
幽长周末,塔韦华·温泰,Sommai Lertulan;Eakasit Thairatana,Natpassara Adulyamethasiri;诺特·阿查拉那·阿瑞亚卫考;Chinawut Indracusin;缇拉娜·友萨奴;措恩·金达科特;Kitlapat Korasudraiwon,恐怖,泰国,泰语,2013-01-31(泰国)
致命倒计时,纳塔吾·彭皮里亚,纳塔吾·彭皮里亚,帕查拉·奇拉锡瓦特;札玲朋·尊克迪;Pattarasaya Kreuasuwansri;David Asavanond;Lorenzo de Stefano,惊悚;恐怖,泰国,泰语,2012-12-20(泰国)
鬼三惊,Isara Nadee;卡洛堤·奈金塔隆;皮查农·塔玛杰拉,皮查农·塔玛杰拉;卡洛堤·奈金塔隆;Isara Nadee,阿萍雅·萨库尔加伦苏;霍嘉丝·芝华顾;查克利·彦纳姆;雷·麦克唐纳;彼得·奈特,恐怖,泰国,泰语,2012-11-22(泰国)
9路冥婚,Rapeepimol Chaisaena,,Patitta Attayatamavitaya;Setsit Limkasitdej;Thiti Vetchabul,惊悚;恐怖,泰国,泰语,2012-09-13(泰国)
我想你,Monthon Arayangkoon,Monthon Arayangkoon;Jantima Liawsirikun;Sompope Vejchapipat,杰西达邦·福尔迪;阿萍雅·萨库尔加伦苏;娜特慧兰·塔美,爱情;恐怖,泰国,泰语,2012-05-31(泰国)
407航班,Isara Nadee,罗宁·提姆,Marsha Wattanapanich;彼得·奈特;Paramej Noiam;Paramej Noiam;乔纳森·萨姆森;Jonathan Samson;Sisangian Sihalath;Namo Tongkumnerd;Patcharee Tubthong,恐怖,泰国,泰语,2012-03-22(泰国);2012-04-03(台湾);2012-04-19(香港)
红鹰侠,韦西·沙赞那庭,韦西·沙赞那庭,阿南达·爱华灵咸;雅琳达·邦恩纳克;罗恩·斯穆安伯格;Wannasing Prasertkul;Pornwut Sarasin,动作;科幻;惊悚,泰国,泰语,2012-03-02(中国大陆);2010-10-07(泰国)
怨鬼之家,Sopon Sukdapisit,Sopon Sukdapisit,萨哈拉·桑卡布理查;Plyathida Woramueik,恐怖,泰国,泰语,2011-04-28(泰国)
婴尸,普安农,,Arisara Tongborisuth;Pitchanart Sakakorn;Somchai Khemklad,惊悚;恐怖,泰国,泰语,2011-03-10(泰国)
白血公主,Sarawut Intaraprom,Sarawut Intaraprom,Atiwat Lamgul;Kapon Tongplub;Nuttapong Chatpong;Parinya Ngamwongwan;Pattaranan Deerassami,恐怖,泰国,泰语,2010-09-23(泰国)
凶间疑影,Pakpoom Wongjinda,Aekasit Thairath,Sinjai Plengphanich;Kanya Rattanapetch;Pongpitch Preechaborisuthikul,悬疑;惊悚;恐怖,泰国,泰语,2010-02-25(泰国)
最后的木琴师,Ittisoontorn Vichailak,,阿奴沏·萨潘彭;Narongrit Tosa-nga,剧情;音乐;传记,泰国,泰语,2004-02-06(泰国)
1995穿越时间,Yanyong Kuruaungkoul,,平采娜·乐维瑟派布恩;Dan Aaron Ramnarong;Achita Pramoj Na Ayudhya,喜剧;爱情;音乐,泰国,泰语,2015/3/19
尸油 3D,Dulyasit Niyomgul,,瓦妮达·特姆散纳波,惊悚;恐怖;情色,泰国,泰语,2014/9/11
这个高中没有鬼 2,普安农,,Pongpitch Preechaborisuthikul;Wanida Termthanaporn,喜剧;惊悚;恐怖,泰国,泰语,2014/4/10
监控录像,由拉特·史帕克;提瓦·马泰松,由拉特·史帕克;提瓦·马泰松,Akaranitimetharat,恐怖,泰国,泰语,2012/7/12
送死,Eakasit Thairatana,,Boy Pakorn Chatborirak;阿南达·爱华灵咸;Jenjira Jamniansri;Prinya Ngamwongwarn;Sikarin Polyong;亚历山大·伦德尔;Peeraphon Senakhun;Theeradanai Suwannahom;Thiti Vetchabul,剧情;惊悚;恐怖,泰国,泰语,2011/1/20
见鬼惊魂旅,Nareubadee Wetchakam,,Jareonporn Onlamai;Kietisak Udomnak;马里奥·毛瑞尔;Nakorn Silachai;Patcharapa Chaichua,喜剧;恐怖,泰国,泰语,2010/12/30
画中情思,策·颂西里,策·颂西里;Kulap Saipradit,Kara Polasit;提拉德·翁坡帕;Art-Ong Chumsai Na Ayudhya;Preeda Chullamondhol;Nuanprang Treechit;Chamroenluk Thanawangnoi;Pirawan Prasopsart;MD Prakit Wateesatakit;Wannasa Thongviset;Wanchart Chunsri;Thida Singhajan,剧情;爱情,泰国,泰语 / 日语,2001-03-30(泰国)
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林;华森·波克彭,普特鹏·普罗萨卡·那·萨克那卡林,平采娜·乐维瑟派布恩;马里奥·毛瑞尔;苏达拉·布查蓬;雅尼卡·桑普蕾舞;诺特·阿查拉那·阿瑞亚卫考;皮拉瓦特·赫拉巴特;普特鹏·普罗萨卡·那·萨克那卡林;华森·波克彭,剧情;喜剧;爱情,泰国,泰语 / 印度尼西亚语 / 英语,2012-06-05(中国大陆);2010-08-12(泰国)
天才枪手,纳塔吾·彭皮里亚,塔妮达·汉塔维瓦塔娜;瓦苏红·皮娅罗姆娜;纳塔吾·彭皮里亚,茱蒂蒙·琼查容苏因;查侬·散顶腾古;依莎亚·贺苏汪;披纳若·苏潘平佑;塔内·瓦拉库努娄;莎琳雷特·托马斯;伊戈·米基塔斯;帕辛·宽萨塔彭;萨哈贾克·波斯安吉特;坎嘉娜·维耐潘尼;育塔彭·瓦拉努科洛楚;诺帕瓦特·里基特王,剧情;悬疑;犯罪,泰国,泰语 / 英语,2017-10-13(中国大陆);2017-05-03(泰国)
锡矿山,Jira Maligool,,Pijaya Vachajitpan;Donlaya Mudcha,剧情;喜剧;传记,泰国,泰语 / 英语,2005/5/26
暹罗复兴,Surapong Pinijkhar,,Stephan Lambert;弗罗伦丝·费佛瑞;Rangsiroj Panpeng,,泰国,泰语 / 英语 / 法语,2004/2/27
早春二月,由拉特·史帕克,由拉特·史帕克,索芘娜帕·崇帕尼;查克利·彦纳姆;Vichitra Triyakul;Kritteera Inpornwijit;Chan Ming Lee;Joe S. Lee;Man X Yim;Bowie Fua;Geoff Kole;Eugene Leong;Raajiv Kumar;Abdas Samad;Bob Senkewicz,剧情;爱情,泰国,泰语 / 英语 / 汉语普通话,2003-02-14(泰国)
灵蚀,帕科·普拉萨,费尔南多·纳瓦罗;帕科·普拉萨,桑德拉·埃斯卡塞纳;布鲁纳·冈萨雷斯;克劳蒂亚·普莱瑟;伊凡·查韦罗;安娜·托伦特;康斯薇洛·特鲁希略;安吉拉·费比安;卡拉·坎普拉,恐怖,西班牙,西班牙语,2017-08-25(西班牙)
敌对区域,阿道弗·马丁内斯·佩雷斯,路易斯·阿兰兹;安德烈斯·M·科佩尔,阿里亚德娜·希尔;劳尔·梅里达;罗伯托·阿拉莫;安东尼奥·加里多;英格丽·加西亚·荣松;贾格布·迪森塔;意斯梅尔·马丁内斯;纳赛尔·萨雷;玛丽亚姆·埃尔南德斯;鲁丝·加布瑞尔;尤尼斯·贝希尔;大卫·德·拉·托雷;哈维尔·博多洛;贝尔塔·埃尔南德斯;塞尔吉奥·莫莫,动作;惊悚;战争,西班牙,西班牙语,2017-03-10(西班牙)
酒吧,阿莱克斯·德·拉·伊格莱西亚,豪尔赫·格力加耶切瓦利亚;阿莱克斯·德·拉·伊格莱西亚,布兰卡·苏亚雷斯;马里奥·卡萨斯;卡门·马奇;塞康·德拉罗萨;杰米·奥多尼斯;特雷勒·帕维斯;华金·克莱门特;亚历杭德罗·亚旺达;苏·弗拉克,喜剧;惊悚;恐怖,西班牙 / 阿根廷,西班牙语,2017-02-15(柏林电影节);2017-03-24(西班牙)
肌肤,爱德华多·卡萨诺瓦,爱德华多·卡萨诺瓦,玛卡蕾娜·戈麦斯;洪·科塔哈雷纳;安娜·波沃罗萨;卡罗琳娜·邦;坎德拉·佩尼亚;卡门·马奇;伊洛伊·科斯塔;塞康·德拉罗萨;华金·克莱门特;哈维尔·博多洛;安娜·玛丽亚·阿亚拉;伊西娅尔·卡斯特罗;阿道夫·费尔南德斯,剧情,西班牙,西班牙语,2017-02-11(柏林电影节);2017-06-09(西班牙)
黑雪,马丁·霍达拉,马丁·霍达拉;莱昂内尔·达戈斯蒂诺,莱昂纳多·斯巴拉格利亚;莱娅·科斯塔;里卡多·达林;多洛莉丝·房兹;贝尔·蒙特罗;莱娅·奥普莱;米克尔·伊格莱西亚斯;安德烈斯·埃雷拉;伊凡·卢恩戈;费德里科·路皮;哈维尔·库斯罗,剧情;悬疑;惊悚;犯罪,阿根廷 / 西班牙,西班牙语,2017-01-19(阿根廷);2017-04-12(西班牙)
生命中的百米,马塞尔·巴雷纳,马塞尔·巴雷纳,丹尼·罗维拉;卡拉·埃莱哈尔德;亚历山德拉·希门内斯;大卫·贝尔达格尔;克拉拉·塞古拉;阿尔瓦·里瓦斯;布鲁诺·贝尔贡齐尼;雷卡杜·佩雷拉;曼努埃拉·库托;马克·巴拉格尔;玛丽亚·德·梅黛洛;安德斯·维伦科索;安德莉亚·特勒帕,剧情;喜剧;传记,西班牙 / 葡萄牙,西班牙语,2016-11-04(西班牙)
愿上帝宽恕我们,罗德里戈·索罗戈延,伊莎贝尔·佩纳;罗德里戈·索罗戈延,安东尼奥·德·拉·托雷;罗伯托·阿拉莫;哈维尔·佩雷伊拉;路易斯·扎赫拉;劳尔·普列托;玛丽亚·德·纳蒂;玛丽亚·巴列斯特罗斯;何塞·路易斯·加西亚·佩雷斯;莫妮卡·洛佩斯;罗希欧·穆诺兹-科博;特蕾莎·洛扎诺;弗朗·诺思;安德烈斯·赫尔德鲁迪克斯;赫苏斯·卡巴;阿方索·巴萨维;拉克尔·佩雷斯;乔斯因·本格特伊,剧情;惊悚;犯罪,西班牙,西班牙语,2016-09-18(塞巴斯蒂安电影节);2016-10-28(西班牙)
杰出公民,加斯顿·杜帕拉特;马里亚诺·寇恩,安德烈斯·杜普拉特,奥斯卡·马丁内兹;达迪·布列瓦;安德丽娅·弗里杰里奥;诺拉·纳瓦斯;曼努埃尔·维森特;马塞洛·丹德烈亚;贝伦·沙瓦纳;古斯塔沃·加尔松;朱利安·拉基尔·泰拉里尼;艾玛·里维拉;尼古拉斯·德·特蕾西;丹尼尔·卡尔吉曼;亚历克西斯·洛佩兹·科斯塔;莱昂纳多·穆里亚;佩德罗·罗斯,剧情;喜剧,阿根廷 / 西班牙,西班牙语,2016-09-04(威尼斯电影节);2016-09-08(阿根廷)
跆拳道,马可·伯格;马丁·法里纳,马可·伯格,加布里埃尔·爱泼斯坦;卢卡斯·帕帕;尼古拉斯·巴索夫;弗朗西斯科·贝尔坦;阿图罗·弗鲁托斯;安德烈斯·加瓦达;胡安·曼努埃尔·马蒂诺;达里奥·梅农;加斯顿·雷,剧情;同性,阿根廷,西班牙语,2016-08-18(阿根廷)
末世肉体,Emiliano Rocha Minter,Emiliano Rocha Minter,加维诺·罗德里格斯;María Cid;María Evoli;Diego Gamaliel;Noé Hernández,剧情;恐怖;奇幻,墨西哥 / 法国,西班牙语,2016-05-16(戛纳电影节);2016-07-22(加拿大奇幻影展);2016-10-06(德国)
我们的情人们,米格尔·安赫尔·拉马塔,米格尔·安赫尔·拉马塔,爱德华多·诺列加;米歇尔·珍娜;费莱·马丁内斯;阿玛雅·萨拉曼卡;加维诺·迭戈;豪尔赫·乌松;玛丽亚·何塞·莫雷诺,剧情;喜剧;爱情,西班牙,西班牙语,2016-04-30(马拉加电影节);2016-06-03(西班牙)
隧道尽头,罗德里戈·格兰德,罗德里戈·格兰德,莱昂纳多·斯巴拉格利亚;克拉拉·拉戈;费德里科·路皮;巴勃罗·埃查里;沃尔特·多纳多;哈维尔·戈迪诺,惊悚;犯罪,西班牙 / 阿根廷,西班牙语,2016-04-21(阿根廷);2016-08-12(西班牙)
胡丽叶塔,佩德罗·阿莫多瓦,佩德罗·阿莫多瓦;爱丽丝·门罗,阿德里亚娜·乌加特;埃玛·苏亚雷斯;米歇尔·珍娜;达里奥·格兰迪内蒂;茵玛·奎斯塔;萝西·德·帕尔马;丹尼尔·格劳;佩拉·卡斯特罗;娜塔莉·波萨;苏西·桑切斯;普利西娅·戴尔加多,剧情,西班牙,西班牙语,2016-04-08(西班牙);2016-05-17(戛纳电影节)
奇奇欲爱世界,帕科·莱昂,约什·劳森;帕科·莱昂,纳塔利娅·德·莫利纳;阿莱克斯·加西亚;雅各布·桑切斯;西尔维娅·雷伊;帕科·莱昂;安娜·卡兹;爱德华多·雷卡瓦伦;贝伦·奎斯塔;坎德拉·佩尼亚;路易斯·卡叶赫;玛丽·帕斯·德萨亚戈;路易斯·贝尔梅河,喜剧,西班牙,西班牙语,2016-04-01(西班牙)
行走距离,亚历山卓·古兹曼·阿尔瓦雷斯,伊策尔·拉腊,卢卡·奥尔特加;毛里齐奥·艾萨克;约耳·菲格罗阿;玛尔塔·克劳迪亚·莫雷诺,剧情;喜剧,墨西哥,西班牙语,2015-10-27(芝加哥电影节);2016-04(北京电影节)
堕落色戒,华金·罗德里格斯,华金·罗德里格斯,Alejandro Estrada;Nataly Uma?a;Roberto Palazuelos,剧情;爱情,墨西哥,西班牙语,2015-10-22(香港)
被遗忘的孩子,佩德罗·里韦罗;阿尔韦托·巴斯克斯,佩德罗·里韦罗;阿尔韦托·巴斯克斯,安德莉亚·阿尔祖里;伊娃·欧简古仁;乔苏·库贝罗;费利克斯·阿卡拉佐;豪尔赫·卡雷罗;纽丽娅·马林;乔恩·戈里;克帕·奎托,动画;恐怖;奇幻,西班牙,西班牙语,2015-09-24(圣塞巴斯蒂安电影节);2017-02-24(西班牙)
阿纳克莱托：特务密探,哈维尔·鲁伊斯·卡尔德拉,Pablo Alén;Breixo Corral;Fernando Navarro,基姆·古铁雷斯;萝西·德·帕尔马;卡洛斯·阿雷塞斯;亚历山德拉·希门内斯;伊马诺尔·阿里亚斯;安德烈·布纳福内特;何塞·科尔瓦乔;埃米利奥·古铁雷斯·卡巴;贝尔托·罗梅罗,喜剧;动作,西班牙,西班牙语,2015-09-04(西班牙)
灰度灰,克劳迪奥·马尔科内,罗德里戈·安东尼奥·诺雷罗,塞尔吉奥·埃尔南德斯;埃米利奥·爱德华兹;弗朗西斯科·塞莱;丹妮拉·拉米雷斯;马蒂亚斯·托雷斯;马尔西亚·塔格莱,剧情;爱情;同性,智利,西班牙语,2015-03-07(智利)
死亡录像4：启示录,豪梅·巴拉格罗,Manu Díez;豪梅·巴拉格罗,曼努埃拉·贝拉斯科;哈维尔·博泰特;Paco Manzanedo;玛利亚·阿尔方萨·罗索;Ismael Fritschi;Críspulo Cabezas;马克·沙尔丹;赫克特·科洛梅;Mariano Venancio;埃米利奥·布阿勒;Javier Laorden;Khaled Kouka;Carlos Zabala,剧情;惊悚;恐怖,西班牙,西班牙语,2014-10-31(西班牙)
沼泽地,阿尔维托·罗德里格斯,阿尔维托·罗德里格斯;拉斐尔·科沃斯,劳尔·阿雷瓦洛;哈维尔·古铁雷斯;安东尼奥·德·拉·托雷;Jesús Carroza;内瑞雅·巴德洛斯;赫苏斯·卡斯特罗,剧情;悬疑;惊悚;犯罪,西班牙,西班牙语,2014-09-26(西班牙)
意外空间,伊萨克·厄兹本,伊萨克·厄兹本,胡伯托·巴斯托;Erick Trinidad Camacho;Santiago Mendoza Cortes;Adrián Ladrón de Guevara;Enrique Mendoza;埃尔南·门多萨;劳尔·门德兹,科幻;惊悚,墨西哥,西班牙语,2014-09-21(墨西哥)
鼩鼱的巢穴,胡安菲尔·安德烈斯;埃斯塔班·罗艾,胡安菲尔·安德烈斯;索非亚·昆卡;艾玛·塞尔,玛卡蕾娜·戈麦斯;纳迪娅·德·圣地亚哥;乌戈·席尔瓦;路易斯·托萨尔;卡罗琳娜·邦;格拉西亚·奥拉约;阿谢尔·埃特塞安迪亚;露西娅·冈萨雷斯,剧情;惊悚;恐怖,西班牙 / 法国,西班牙语,2014-09-04(多伦多电影节);2014-10-08(伦敦电影节);2014-12-25(西班牙)
夏威夷,马可·伯格,马可·伯格,麦努威·维古诺;马特奥·基亚里诺;Luz Palazon;Antonia De Michelis;Manuel Martínez Sobrado,剧情;同性,阿根廷,西班牙语,2013-04-13(阿根廷)
谋杀论文,Hernán Goldfrid,Diego Paszkowski;Patricio Vega,里卡多·达林;阿尔维托·阿曼;卡露·里维罗;Arturo Puig;Fabián Arenillas;玛拉·贝什泰利;Antonio Ugo;José Luis Mazza;马特奥·基亚里诺;Natalia Santiago;Ezequiel De Almeida;塞西莉亚·阿塔恩,悬疑;惊悚;犯罪,阿根廷 / 西班牙,西班牙语,2013-01-17(阿根廷)
女尸谜案,奥里奥尔·保罗,奥里奥尔·保罗;拉拉·森迪姆,贝伦·鲁埃达;乌戈·席尔瓦;何塞·科罗纳多;奥拉·加里多;娜乌西卡·邦宁;胡安·巴勃罗·舒克;克里斯蒂娜·普拉萨斯;奥里奥尔·比拉;阿伊达·奥赛,惊悚,西班牙,西班牙语,2012-12-21(西班牙)
茱莉娅的眼睛,吉列尔莫·莫拉莱斯,吉列尔莫·莫拉莱斯;奥里奥尔·保罗,贝伦·鲁埃达;路易斯·奥马;巴勃罗·德尔基;茱莉亚·古铁雷兹·卡巴;赫克托耳·克拉拉蒙;弗兰塞斯克·奥雷利亚;克拉拉·塞古拉,惊悚;恐怖,西班牙,西班牙语,2012-11-09(中国大陆);2010-09-11(多伦多电影节);2010-10-29(西班牙)
死亡录像3：创世纪,Paco Plaza,Luis Berdejo;Paco Plaza,拉蒂西亚·多瑞拉;Diego Martín;àlex Monner;Ana Isabel Velásquez;Mireia Ros;Ismael Martínez,喜剧;惊悚;恐怖,西班牙,西班牙语,2012-03-30(西班牙)
口诀,安东尼奥·查瓦里亚斯,安东尼奥·查瓦里亚斯;Sergi Belbel,胡安·迭戈·博托;巴巴拉·莱涅;Nora Navas;Maria Pau Pigem;àgata Roca;Monti Casti?eiras;Marc Rodríguez;Mágica Pérez,惊悚;恐怖,西班牙,西班牙语,2012-02-11(柏林电影节);2012-03-09(西班牙)
皱纹,伊格纳希奥·法雷拉斯,ángel de la Cruz;Paco Roca,Tacho González;álvaro Guevara;玛贝尔·里维拉;Raúl Dans;Montse Davila;Charo Díaz,剧情;动画,西班牙,西班牙语,2012-01-27(西班牙)
伊娃,凯克·麦罗,Sergi Belbel;凯克·麦罗,丹尼尔·布鲁尔;玛尔塔·埃图拉;阿尔维托·阿曼;克劳迪亚·贝加;Anne Canovas;路易斯·奥马,剧情;科幻;奇幻,西班牙,西班牙语,2011-09-23(西班牙)
黑暗面,安德烈斯·拜斯,安德烈斯·拜斯;哈特姆·科莱切,基姆·古铁雷斯;克拉拉·拉戈;马丁娜·加西亚;亚历山德拉·斯图尔特;玛利亚·罗德里格斯;玛瑟拉·玛;汉姆贝托·多拉多;胡安·巴普蒂斯塔,剧情;悬疑;惊悚,哥伦比亚 / 西班牙,西班牙语,2011-09-16(西班牙)
僵尸胡安,亚历杭德罗·布鲁格斯,亚历杭德罗·布鲁格斯,安德烈娅·杜罗;约格·莫利纳;Luis Alberto García;Andros Perugorría;Jazz Vilá;Eliecer Ramírez;安东尼奥·德琴特;Blanca Rosa Blanco,喜剧;恐怖,西班牙 / 古巴,西班牙语,2011-09-10(多伦多电影节);2012-01-13(西班牙)
心底的逆流,哈维尔·弗恩特斯-莱昂,哈维尔·弗恩特斯-莱昂,塔缇娜·阿斯滕戈;马诺洛·卡多纳;克里斯蒂安·梅卡多,剧情;同性,秘鲁 / 哥伦比亚 / 法国 / 德国,西班牙语,2010-08-26(秘鲁)
古巴万岁,Juan Carlos Cremata Malberti;Iraida Malberti Cabrera,Juan Carlos Cremata Malberti;Manuel Rodríguez,Malú Tarrau Broche;Jorge Milo;María Jiménez Rodríquez;Larisa Vega Alamar;Pavel García Valdés,剧情;喜剧,法国 / 古巴,西班牙语,2005-09-13(多伦多电影节)
无知的声音,路易斯·曼多基,路易斯·曼多基;Oscar Orlando Torres,Carlos Padilla;蕾奥娜·维埃拉;Xuna Primus,剧情;战争,美国 / 墨西哥,西班牙语,2004-09-16(多伦多电影节)
苏镇巫女,阿莱克斯·德·拉·伊格莱西亚,阿莱克斯·德·拉·伊格莱西亚,马里奥·卡萨斯;卡门·毛拉;卡罗琳娜·邦;乌戈·席尔瓦;哈维尔·博泰特;特雷勒·帕维斯,剧情;喜剧;恐怖,西班牙,西班牙语,2013/9/27
魔岛迷踪,Gabe Ibá?ez,Javier Gullón,Elena Anaya;Mar Sodupe,悬疑;惊悚,西班牙,西班牙语,2009/12/25
时间遗忘的天使,马科斯·卡内瓦莱,马科斯·卡内瓦莱;Marcela Guerty,诺玛·阿莱昂德罗;Luis Luque;Leonor Manso;Marcela Guerty;Mercedes Scapola,剧情,阿根廷,西班牙语,2009/8/27
天线,埃斯特班·萨丕尔,埃斯特班·萨丕尔,Alejandro Urdapilleta;巴莱里·贝尔图切利;朱丽叶塔·卡迪纳利,剧情,阿根廷,西班牙语,2007/4/19
美丽的秘密,Leopoldo Laborde,利奥波德·拉波德,Katy Jurado;Imanol;Ana de la Reguera,剧情,墨西哥,西班牙语,2003/4/12
些许故事,卡洛斯·索林,Pablo Solarz,Javier Lombardo;Antonio Benedicti;Javiera Bravo;Julia Solomonoff,剧情;喜剧,阿根廷 / 西班牙,西班牙语,2002/10/24
云,费尔南多·索拉纳斯,Martín Pavlovsky;费尔南多·索拉纳斯,Martín Pavlovsky;?ngela Correa;Francisco Nápoli;Laura Novoa,剧情,阿根廷 / 法国,西班牙语,1998/9/3
深深的腥红,奥图罗·利普斯坦,Paz Alicia Garciadiego,Regina Orozco;丹尼尔·希梅内斯·卡乔;Sherlyn;Giovanni Florido;Fernando Palavicini;帕特里夏·雷耶斯·斯平多拉;Alexandra Vicencio;Julieta Egurrola;Esteban Soberanes;Gastón Melo;Juan de la Loza;玛丽萨·帕雷德斯;罗莎·弗曼;álvaro Carca?o;Francisco Mauri,剧情;爱情;惊悚;犯罪,墨西哥 / 法国 / 西班牙,西班牙语,1996/9/9
第七阶,Nicolás Goldbart,Nicolás Goldbart,Daniel Hendler;Jazmín Stuart;Yayo Guridi;Federico Luppi;Carlos Bermejo;Abian Vainstein,喜剧;动作;科幻,阿根廷,西班牙语,2011
阴宅瓦德马尔,José Luis Alemán,,scar Jaenada;Silvia Abascal,悬疑;恐怖,西班牙,西班牙语,2010
单人夜曲,Marcelo Briem Stamm,Marcelo Briem Stamm,帕特里西奥·拉莫斯;马里奥·贝隆;卡洛斯·埃切维里亚;Laura Agorreca;Mike Zubi,悬疑;同性,阿根廷,西班牙语,
