影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
极盗车神,埃德加·赖特,埃德加·赖特,安塞尔·艾尔高特;凯文·史派西;杰米·福克斯;乔恩·哈姆;艾莎·冈萨雷斯;莉莉·詹姆斯;乔·博恩瑟;米迦·霍华德;摩根·布朗;CJ·琼斯;斯凯·费雷拉;兰斯·帕默;哈德森·米克;薇薇安娜·查维斯;哈尔·怀特塞德;弗利;兰尼·琼;克莱·方特诺特;R·马科斯·泰勒;帕特里克·R·沃克;保罗·威廉姆斯;维布尔·弗利茨杰拉德,动作;音乐;犯罪,英国 / 美国,英语 / 美国手语,2017-08-25(中国大陆);2017-03-11(西南偏南电影节);2017-06-28(英国/美国)
猩球崛起2：黎明之战,马特·里夫斯,马克·鲍姆贝克;里克·杰法;阿曼达·斯尔沃;皮埃尔·布尔,安迪·瑟金斯;杰森·克拉克;加里·奥德曼;凯丽·拉塞尔;托比·凯贝尔;柯蒂·斯密特-麦菲;柯克·埃斯沃多;尼克·瑟斯顿;泰瑞·诺塔里;卡琳·考诺娃;朱迪·格雷尔;乔恩·阿兹;恩里克·穆西安诺;拉勒米·道克·肖;李·罗斯,剧情;动作;科幻,美国,英语 / 美国手语,2014-08-29(中国大陆);2014-07-11(美国)
猩球崛起,鲁伯特·瓦耶特,里克·杰法;阿曼达·斯尔沃;皮埃尔·布尔,詹姆斯·弗兰科;安迪·瑟金斯;汤姆·费尔顿;芙蕾达·平托;布莱恩·考克斯;泰勒·莱伯恩;约翰·利思戈;卡琳·考诺娃;泰瑞·诺塔里;理查德·赖丁斯;克里斯托弗·戈登;德文·达尔顿;杰·卡普托;大卫·奥伊罗;杰米·哈里斯,剧情;动作;科幻,美国,英语 / 美国手语,2011-10-28(中国大陆);2011-08-05(美国)
水形物语,吉尔莫·德尔·托罗,吉尔莫·德尔·托罗;瓦内莎·泰勒,莎莉·霍金斯;道格·琼斯;迈克尔·珊农;理查德·詹金斯;奥克塔维亚·斯宾瑟;迈克尔·斯图巴;大卫·休莱特;尼克·西塞;斯图尔特·阿诺特;尼格尔·本内特;劳伦·李·史密斯;马丁·罗奇;阿莱格拉·富尔顿;约翰·卡普洛斯;摩根·凯利;马文·凯伊;德鲁·维尔戈维尔,剧情;爱情;奇幻,美国,英语 / 美国手语 / 俄语,2018-03-16(中国大陆);2017-08-31(威尼斯电影节);2017-12-01(美国)
雄狮,加斯·戴维斯,萨罗·布赖尔利;卢克·戴维斯,戴夫·帕特尔;鲁妮·玛拉;大卫·文翰;妮可·基德曼;桑尼·帕沃;纳瓦祖丁·席迪圭;塔妮莎·查特吉;迪普提·纳瓦尔;马尼克·古纳拉塔尼;本杰明·里格比;萨罗·布赖尔利,剧情,澳大利亚 / 英国 / 美国,英语 / 孟加拉语 / 印地语,2017-06-22(中国大陆);2016-09-10(多伦多电影节);2017-01-19(澳大利亚)
成事在人,克林特·伊斯特伍德,安东尼·佩卡姆;约翰·卡林,摩根·弗里曼;马特·达蒙;托尼·戈罗奇;帕特里克·莫佛肯;马特·斯特恩;朱利安·刘易斯·琼斯;阿卓艾·安多;玛格丽特·惠特利;蕾乐蒂·库马洛;帕特里克·利斯特;佩妮·唐尼;西邦吉莱·诺吉拉;邦妮·汉娜;谢克斯·迈科;路易斯·米纳尔;罗宾·史密斯;大卫·杜卡斯;格兰特·斯旺比;斯科特·伊斯特伍德,剧情;传记;历史;运动,美国,英语 / 南非语 / 毛利语 / 祖鲁语 / 科萨语 / 南梭托语,2009-12-11(美国)
第九区,尼尔·布洛姆坎普,尼尔·布洛姆坎普;特丽·塔歇尔,沙尔托·科普雷;詹森·库伯;娜塔莉·博尔特;茜尔雯·斯特赖克;约翰·萨莫尔;威廉·艾伦·扬;尼克·布雷克;杰德·布罗菲;路易斯·米纳尔;瓦妮莎·海伍德;玛丽安·胡曼;维多利奥·莱奥纳迪;曼德拉·加杜卡;约翰·范·肖尔;斯特拉·斯廷坎普;戴维·詹姆斯;肯尼思·恩科西;蒂姆·戈登;莫尔内·埃拉斯姆斯;尤金·孔巴尼瓦;赫棱基维·马德拉拉;西雅邦加·拉德贝;梅尔特·西贝尔哈亨;安德勒·奥登达尔;尼克·伯莱尼;罗伯特·霍布斯,剧情;动作;科幻;惊悚,美国 / 新西兰 / 加拿大 / 南非,英语 / 尼扬贾语 / 南非荷兰语 / 祖鲁语 / 科萨语 / 塞索托语,2009-11-27(中国大陆);2009-08-14(美国)
白色严冬,彼特·纳斯,Ole Meldgaard;Dave Mango;彼特·纳斯,鲁伯特·格林特;大卫·克劳斯;斯蒂格·亨里克·霍夫;弗洛里安·卢卡斯;拉克兰·尼布尔;Morten Faldaas;Kim Haugen;Knut Joner;Sondre Krogtoft Larsen,剧情;动作;历史;战争,挪威 / 瑞典 / 法国,英语 / 挪威 / 德语,2012-03-09(挪威)
疯狂动物城,拜伦·霍华德;瑞奇·摩尔;杰拉德·布什,拜伦·霍华德;瑞奇·摩尔;杰拉德·布什;吉姆·里尔顿;乔西·特立尼达;菲尔·约翰斯顿;珍妮弗·李,金妮弗·古德温;杰森·贝特曼;伊德里斯·艾尔巴;珍妮·斯蕾特;内特·托伦斯;邦尼·亨特;唐·雷克;汤米·钟;J·K·西蒙斯;奥克塔维亚·斯宾瑟;艾伦·图代克;夏奇拉;雷蒙德·S·佩尔西;德拉·萨巴;莫里斯·拉马奇;菲尔·约翰斯顿;约翰·迪·玛吉欧;凯蒂·洛斯;吉塔·雷迪;杰西·科尔蒂;汤米·利斯特;乔希·达拉斯;瑞奇·摩尔;凯斯·索西;彼得·曼斯布里奇;拜伦·霍华德;杰拉德·布什;马克·史密斯;乔西·特立尼达;约翰·拉维尔;克里斯汀·贝尔;吉尔·科德斯;梅利莎·古德温,喜剧;动画;冒险,美国,英语 / 挪威语,2016-03-04(中国大陆/美国)
美国队长,乔·庄斯顿,克里斯托弗·马库斯;斯蒂芬·麦克菲利;乔·西蒙;杰克·科比,克里斯·埃文斯;海莉·阿特维尔;塞巴斯蒂安·斯坦;汤米·李·琼斯;雨果·维文;多米尼克·库珀;理查德·阿米蒂奇;斯坦利·图齐;塞缪尔·杰克逊;托比·琼斯;尼尔·麦克唐纳;德里克·卢克;肯尼斯·崔;约翰·约瑟夫·菲尔德,动作;科幻;冒险,美国,英语 / 挪威语 / 法语,2011-09-09(中国大陆);2011-07-19(加州首映);2011-07-22(美国)
